 Radium-226 has a half-life of 1620 years. Find the time period during which a given amount of this material is reduced by one-quarter.,810 Years,1344.8 Years, 672.4 Year,1620 Years,C,scibench-diff
"15. Consider the initial value problem
$$
4 y^{\prime \prime}+12 y^{\prime}+9 y=0, \quad y(0)=1, \quad y^{\prime}(0)=-4 .
$$
Determine where the solution has the value zero.",0.3,0.6,0.5, 0.4,D,scibench-diff
"25. Consider the initial value problem
$$
2 y^{\prime \prime}+3 y^{\prime}-2 y=0, \quad y(0)=1, \quad y^{\prime}(0)=-\beta,
$$
where $\beta>0$.
Find the smallest value of $\beta$ for which the solution has no minimum point.",3, 2,4,1,B,scibench-diff
"28. A mass of $0.25 \mathrm{~kg}$ is dropped from rest in a medium offering a resistance of $0.2|v|$, where $v$ is measured in $\mathrm{m} / \mathrm{s}$.
If the mass is to attain a velocity of no more than $10 \mathrm{~m} / \mathrm{s}$, find the maximum height from which it can be dropped.",12.3 m, 13.45 m,10.5 m,15.2 m,B,scibench-diff
A certain college graduate borrows $8000 to buy a car. The lender charges interest at an annual rate of 10%. What monthly payment rate is required to pay off the loan in 3 years?,$300.00,$275.00,$220.00, 258.14 $,D,scibench-diff
"A certain spring-mass system satisfies the initial value problem
$$
u^{\prime \prime}+\frac{1}{4} u^{\prime}+u=k g(t), \quad u(0)=0, \quad u^{\prime}(0)=0
$$
where $g(t)=u_{3 / 2}(t)-u_{5 / 2}(t)$ and $k>0$ is a parameter.
Suppose $k=2$. Find the time $\tau$ after which $|u(t)|<0.1$ for all $t>\tau$.",28.6891,30.7654, 25.6773,20.5426,C,scibench-diff
A certain vibrating system satisfies the equation $u^{\prime \prime}+\gamma u^{\prime}+u=0$. Find the value of the damping coefficient $\gamma$ for which the quasi period of the damped motion is $50 \%$ greater than the period of the corresponding undamped motion.,1.7089, 1.4907,1.5923,1.3295,B,scibench-diff
"A home buyer can afford to spend no more than $\$ 800 /$ month on mortgage payments. Suppose that the interest rate is $9 \%$ and that the term of the mortgage is 20 years. Assume that interest is compounded continuously and that payments are also made continuously.
Determine the total interest paid during the term of the mortgage.","$120,345.78","$85,250.65","$75,000.00"," 102,965.21 $",D,scibench-diff
"A home buyer can afford to spend no more than $\$ 800$ /month on mortgage payments. Suppose that the interest rate is $9 \%$ and that the term of the mortgage is 20 years. Assume that interest is compounded continuously and that payments are also made continuously.
Determine the maximum amount that this buyer can afford to borrow."," 89,034.79 $","$105,000.00","$95,000.00","$75,000.00",A,scibench-diff
"A homebuyer wishes to finance the purchase with a \$95,000 mortgage with a 20-year term. What is the maximum interest rate the buyer can afford if the monthly payment is not to exceed \$900?",10.85 %,7.50 %,8.27 %, 9.73 %,D,scibench-diff
"A homebuyer wishes to take out a mortgage of $100,000 for a 30-year period. What monthly payment is required if the interest rate is 9%?",$850.00,$900.00,$750.00,804.62$,D,scibench-diff
